Segment Name,Transcript
segment_002.wav,TOWER HELLO EMIRATES FIVE TWO ONE
segment_003.wav,EMIRATES FIVE TWO ONE DUBAI TOWER GOOD AFTERNOON ONE TWO LEFT CONTINUE APPROACH PLAN TO VACATE AT MIKE NINER
segment_004.wav,CONTINUE PLANNING MIKE NINER EMIRATES FIVE TWO ONE
segment_005.wav,CLEARED TO LAND RUNWAY ONE TWO LEFT THE WIND ONE ZERO ZERO DEGREES ONE ONE KNOTS
segment_006.wav,CLEARED TO LAND ONE TWO LEFT EMIRATES FIVE TWO ONE
segment_007.wav,TOWER HELLO EMIRATES FIVE SIX FIVE WITH YOU SIX MILES
segment_008.wav,FIVE SIX FIVE TOWER GOOD AFTERNOON ONE TWO LEFT CONTINUE APPROACH PLAN TO VACATE MIKE NINER
segment_009.wav,MIKE NINER FIVE SIX FIVE
segment_010.wav,FIVE TWO ONE CONTINUE STRAIGHT CLIMB TO FOUR ZERO ZERO ZERO FEET
segment_011.wav,STRAIGHT AHEAD TO FOUR ZERO ZERO ZERO EMIRATES FIVE TWO ONE
segment_012.wav,DID YOU SEE THAT
segment_013.wav,EMIRATES FIVE SIX FIVE GO AROUND I REPEAT GO AROUND CONTINUE STRAIGHT TO FOUR ZERO ZERO ZERO
segment_014.wav,GO AROUND EMIRATES FIVE SIX FIVE
segment_015.wav,OKAY YOU NEED TO CHECK THAT AT THE END OF ONE TWO LEFT
segment_016.wav,ALRIGHT GOT IT
segment_017.wav,EMIRATES FIVE TWO ONE CRASH VEHICLES PROCEEDING NOW TO YOUR SCENE
segment_018.wav,SKY DUBAI EIGHT FIVE SEVEN
segment_019.wav,OKAY HOLDING AT SKY DUBAI EIGHT FIVE SEVEN
segment_020.wav,EMIRATES FIVE SIX FIVE CONTINUE STRAIGHT AHEAD AND FOUR ZERO ZERO ZERO FEET
segment_021.wav,GOING STRAIGHT AHEAD PASSING ONE TWO CLIMBING FOUR ZERO ZERO ZERO FEET EMIRATES FIVE SIX FIVE
segment_022.wav,FIVE SIX FIVE CONTACT RADAR ON ONE TWO SIX TWO
segment_023.wav,ONE TWO SIX TWO EMIRATES FIVE SIX FIVE
